               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              1.7732,             0.91474,              1.3702,             0.86014,             0.61212,              0.6939,             0.38652,                   0,                   0,                   0,           0.0090595,           0.0090595,           0.0090595
                  40,              1.7649,             0.91081,              1.3714,             0.85886,             0.61352,              0.6944,             0.38744,                   0,                   0,                   0,           0.0090347,           0.0090347,           0.0090347
                  41,              1.7657,             0.91215,              1.3713,             0.85984,             0.61664,              0.6964,             0.38891,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  42,               1.754,             0.90091,              1.3668,              0.8622,             0.61598,             0.69715,             0.38942,                   0,                   0,                   0,           0.0089853,           0.0089853,           0.0089853
                  43,              1.7683,             0.90805,              1.3684,             0.86588,              0.6157,             0.69776,             0.39089,                   0,                   0,                   0,           0.0089605,           0.0089605,           0.0089605
                  44,               1.768,              0.9051,               1.364,             0.86286,             0.61737,             0.69819,             0.39143,                   0,                   0,                   0,           0.0089358,           0.0089358,           0.0089358
                  45,              1.7543,             0.90364,              1.3638,             0.86356,             0.61735,             0.69807,               0.391,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  46,              1.7546,             0.89447,              1.3599,              0.8632,              0.6179,             0.69921,             0.39129,                   0,                   0,                   0,           0.0088863,           0.0088863,           0.0088863
                  47,              1.7582,             0.90344,              1.3595,             0.86427,              0.6187,                 0.7,             0.39248,                   0,                   0,                   0,           0.0088615,           0.0088615,           0.0088615
                  48,              1.7448,             0.89257,                1.36,             0.86534,             0.61941,             0.70141,             0.39306,                   0,                   0,                   0,           0.0088368,           0.0088368,           0.0088368
                  49,              1.7454,               0.888,              1.3591,             0.86088,             0.62137,              0.7013,              0.3931,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
